No.,Description,Base Unit of Measure,Unit Cost,Unit Price
FF016200,"Plaster, zinc oxide 7.5cmx5m long-stretched",EACH,972,1185.36585
FF016500,prolene mesh Large,6,0,0
FF016800,"prolene mesh,medium,6",6,429019.5,523194.5122
FF017100,"prolene mesh,small,6",6,409319.625,499170.2743
FF017400,"Bandage, Stockinette Tubular,Elasticated",EACH,7273.4445,8870.05427
FF017700,"Bandage, Stockinette Tubular, Elasticated",EACH,0,0
FF018000,"Bandage, Stockinette Tubula,Elasticated",EACH,0,0
FF018300,Synthetic reusable medical drapes,EACH,0,0
FF018600,"Triangular bandage,Each",EACH,255.0625,311.05183
FF018900,V.A.C Granufoam Silver Dressing,EACH,0,0
FF019200,V.A.C Ulta™ Negative Pressure Wound Therapy Syst,SET,0,0
FF019500,"Veroband,size10cm,pack of 10,Each",EACH,0,0
FF019800,"Veroband,size15cm,pack of 10,Each",EACH,0,0
FF019801,"Bandage, Orthopedic Soft Pad, 15cm x 2.7M",EACH,0,0
FF020100,"Bandage, Orthopedic Soft Pad, 5cmx5m-Stretched",EACH,0,0
FF020101,"Bandage, Orthopedic Soft Pad, 5cm x 2.7m, stret",EACH,0,0
FF020400,"Bandage, Orthopedic Soft Pad, 7.5cmx5m-stretch",EACH,371.9802,453.63439
FF020700,"Wound Dressing, Silver Sulfadiazine Impregnated",EACH,0,0
FF020750,Dressing pack,EACH,54000,0
FF020800,Adhesive Bandage 7.5cm x5m,EACH,827.58743,1009.25296
FF020900,"Plaster of Paris (POP) 15 cmX75 cm, slab",12,0,0
FF021000,"Nebuliser mask, paediatric",EACH,1485,1810.97561
FF021100,"Veroband size 7.5 cm, Pack of 10",EACH,0,0
FP000400,"Postinor (Levonogesterol,0.75mg),EACH",EACH,187.77074,228.98871
GG000300,Absorbable Bone Sealant,12,0,0
GG000301,"Polyglactin 0,75cm,reverse cutting, 36mm needle",12,0,0
GG000302,"Polyglactin1,  75 cm,reverse cutting,40mm needle",12,0,0
GG000304,"Polyglactin 2/0, 75cm,reverse cutting,26mm needle",12,0,0
GG000305,"Polyglactin 3/0,75cm, reverse cutting,26mm needle",12,0,0
GG000307,"Polydioxanone monofilament(PDSII)3/0,75cm,rb,26mm",12,0,0
GG000308,"Polydioxanone monofilament PDSII,4/0,75cm,rb,26mm",12,0,0
GG000309,"Polydioxanone monofilament PDSII,4/0,75cm,26mm,rb,",12,0,0
GG000310,"Prolene 6/0,70cm,double arm 3/8C,rb,10mm needle",12,0,0
GG000311,"Prolene 7/0,70cm,double arm, 3/8C, rb,6mm needle",12,0,0
GG000312,"Prolene 8/0,70cm,double arm 3/8C, rb,6mm needle",12,0,0
GG000314,"Vicryl 4/0, 75cm, 35mm,cutting needle",12,0,0
GG000600,"Catgut Chromic 0,  75cm, ½ Circle, TP",12,8833.80725,10772.93567
GG000900,"Catgut Chromic 1,  75cm, ½ TP",12,10655.45451,12994.45672
GG001200,"Catgut Chromic 2, 75cm, ½  Taper Point",12,8490.2944,10354.01756
GG001500,"Catgut Chromic 2/0, 75cm, ½ TP",12,10058.23116,12266.13556
GG001800,"Catgut Chromic 3/0, 75cm, ½  Taper Point",12,0,0
GG002100,"Catgut Chromic 4/0, 75cm, ½  TP",12,0,0
GG002400,"Haemostat absorbable (SURGICEL),12",12,0,0
GG002450,Ligature 1 150cm,EACH,0,0
GG002700,"Monifilament Polyamide,5/0,Cutting needcle,12",12,0,0
GG003000,"Poliglecaprone,25,Round Bodied 1/2,Cycle,1,12",12,8279.80281,10097.3205
GG003300,"Poliglecaprone, 25, Round Bodied 1/2,Cycle,2,12",12,8762.40724,10685.86249
GG003400,"Polypropylene (prolene)10/0, 16mm",12,0,0
GG003500,"Polyfractin 910 Braided, 2, 75cm ½ circle, RB 48mm",12,30000,36585.36585
GG003600,"Poliglecaprone 25 Size 2/0, 70cm, 1/2 Cycle, Taper",12,6426.368,7837.03415
GG003700,"Polydiaxanone Monofilament,2,90cm ½circle, RB 40mm",12,90000,109756.0976
GG003750,"Polydiaxanone Monofilament size 2, 90 cm ½ c_JJ",12,0,0
GG003800,"Polydiaxanone Monofilament,2/0,70cm ½circle,RB 26m",12,130000,158536.5854
GG003850,"Polydiaxanone Monofilament size 2/0, 70 cm ½ c_JJ",12,0,0
GG003900,"Poliglecaprone,25,Round Bodied 1/2,Cycle,3/0,12",12,19649.25751,23962.50916
GG004000,"Poliglecaprone 25 Size 3/0,70cm,  1/2Cycle,Tape-JJ",12,0,0
GG004200,"Poliglecaprone,25,Round Bodied 1/2,Cycle,4/0,12",12,15502.63017,18905.64655
GG004250,"Poliglecaprone 25 ,4/0,22mm RB, 1/2, 70 cm long JJ",12,39900,48658.53659
GG004300,"Monofilament Polyamide 6 Size 1, 100cm, 1/2,TP RB",12,7058.29371,8607.67526
GG004400,"OR Monofilament Polyamide  2/0,75cm, 3/8 CC,31mm",12,9864.8705,12030.32988
GG004500,Polyamide monofilament suture sterile 0,12,741.23251,903.94209
GG004600,"OR Polydioxanone monofilament (PDS II) 1,1/2, RB",12,18580.2823,22658.88085
GG004700,"OR Polydioxanone monofilament(PDS II) 1,1/2 TP,31m",12,18571.59234,22648.28334
GG004800,"Monofilament Polyamide 6 Size 0, 100cm, 3/8CCC",12,0,0
GG004850,"Polyamide monofilament  1, on 40mm 3/8 circle",12,0,0
GG005100,"Monofilament Polyamide 6 Size 1, 100cm, 1/2CCC",12,6462,7880.4878
GG005400,"Monofilament Polyamide 6 Size 1, 100cm,1/Circle",12,9190.67198,11208.13656
GG005450,"Polyamide monofilament suture sterile 2,Cut Need",12,0,0
GG005451,Polyamide monofilament suture 0 TP 1/2 circle,12,607.56,740.92683
GG005452,"Polyamide monofilament suture,size 4/0,1/2 circle",12,0,0
GG005700,"Monofilament Polyamide 6 Size 10/0, 30cm, 3/8CC",12,139080,169609.7561
GG005750,"Monofilament Polyamide 6 Size 10/0,30cm, 3/8c_JJ",12,0,0
GG005760,"Monofilament Polyamide 6 Size 10/0, 30cm, 3/8 Circ",12,0,0
GG005800,"OR Polydioxanone monofilament(PDS II) 4/0, 90cm RB",12,18971.70034,23136.21993
GG005900,"Polyglactin 910 braided,4/0 ,75cm,1/2 CC,18mm Curv",12,12049.43176,14694.42898
GG006000,Polyamide monofilament suture sterile 10/0,12,0,0
GG006050,Polyamide monofilament suture sterile10/0 Rev cut,12,41000,50000
GG006300,Polyamide monofilament suture sterile 10/0,12,0,0
GG006400,"OR Polyglactin 910 Braided 1, 90cm, 1/2,RB,40mm",12,12556.36167,15312.63618
GG006500,"Polyglactin 910 Braided 3/0, 75cm, 1/2, CC,22mm",12,12601.82423,15368.07833
GG006600,"Monofilament Polyamide 6 Size 10/0, 30cm, 3/8CC",12,0,0
GG006700,"Polyglactin 910 Braided 4/0, 75cm, 1/2 RB 17mm",12,13029.53522,15889.6771
GG006800,"OR Monofilament Polyamide6 size1,100cm,1/2,RB 48m",12,10124.4,12346.82927
GG006850,"polyamide monofilament suture, size 4/0, 1/2C, 20-",12,0,0
GG006860,"polyamide monofilament suture, size5/0,1/2, 38- 40",12,0,0
GG006900,Polyamide monofilament suture sterile 2,12,0,0
GG007200,"Monofilament Polyamide 6 Size 2, 75cm, 3/8 CRC",12,906.421,1105.39146
GG007500,Polyamide monofilament suture sterile 2,12,0,0
GG007800,Polyamide monofilament suture sterile 2,12,9455.7685,11531.425
GG008100,Polyamide monofilament suture sterile 2,12,0,0
GG008150,"Monofilament polyamide (Ethilon) 2, 1/2 circle",12,0,0
GG008400,"Monofilament Polyamide Size 2/0, 45cm, 3/8CCC",12,10044,12248.78049
GG008450,"Monofilament polyamide 2/0, TP,1/2 C",12,0,0
GG008700,"Monofilament Polyamide Size 2/0, 100cm, 3/8CRC",12,6659.1,8120.85366
GG009000,Polyamide monofilament suture sterile 2/0,12,3601.41068,4391.96424
GG009100,"OR Polyamide monofilament,USP2,48-80mm 3/8,CC 100c",12,10873.2,13260
GG009300,Polyamide monofilament suture sterile 2/0,12,1252.57308,1527.52815
GG009600,Polyamide monofilament suture sterile 2/0,12,15600,19024.39024
GG009900,Polyamide monofilament suture sterile 3,12,0,0
GG010200,Polyamide monofilament suture sterile 3/0,12,0,0
GG010500,Polyamide monofilament suture sterile 3/0,12,0,0
GG010800,Polyamide monofilament suture sterile 3/0,12,1132.58256,1381.19824
GG011100,"Monofilament Polyamide Size 3/0, 45cm, 3/8CRC",12,0,0
GG011400,Polyamide monofilament suture sterile 4/0,12,607.56,740.92683
GG011450,"Polyamide monofilament 4/0,Conve.cutting",12,974,1187.80488
GG011700,Polyamide monofilament suture sterile 4/0,12,0,0
GG012000,Polyamide monofilament suture sterile 4/0,12,607.56,740.92683
GG012300,Polyamide monofilament suture sterile 5/0,12,0,0
GG012600,Polyamide monofilament suture sterile 6/0,12,0,0
GG012900,Polyamide monofilament suture sterile 7/0,12,0,0
GG013200,Polyamide monofilament suture sterile 9/0,12,0,0
GG013500,Polyamide monofilament suture sterile CEC,12,0,0
GG013800,"Polydioxanone monofilament (PDS II) size 0, 70cm",12,4730.1975,5768.53354
GG013900,"Polydioxanone suture (PDSII), size 2/0,1/2C, 26mm",12,0,0
GG013910,"Polyester suture, size 0, 1/2C,curved, 48mm needle",12,0,0
GG013920,"Polyester suture, size 1, 1/2C,curved, 48mm needle",12,0,0
GG013930,"Polyester suture, size 2, 1/2C,curved, 40mm needle",12,0,0
GG013940,"Polyester suture, size 2/0, 1/2C,curved, 26mm need",12,0,0
GG013950,"Polyester suture, size 5, 1/2C,curved, 48mm needle",12,0,0
GG014100,Polydioxanone monofilament (PDS II),12,19396.34175,23654.0753
GG014400,"Polydioxanone monofilament (PDS II) size 2, 90cm",12,11412.20933,13917.32845
GG014700,Polydioxanone monofilament (PDS II),12,6116.71563,7459.4093
GG015000,"Polydioxanone monofilament (PDS II) size 3/0,70cm",12,0,0
GG015300,Polydioxanone monofilament (PDS II),12,0,0
GG015600,"Polydioxanone monofilament (PDS II) size4/0, 90cm",12,19896.21091,24263.67184
GG015601,"Polydioxanone monofilament(PDS II) size 4/0,90_J&J",12,0,0
GG015900,"Polyglactin 910 braided, size 0  , 90cm",12,14708.20299,17936.83291
GG015901,"Polyglactin 910 Braided Size 1, 90cm, 1/2 C_ JJ",12,0,0
GG015950,Braided synthetic sterile polyglactin 910 surg sut,12,7722.201,9417.31829
GG016200,"Polyglactin 910 braided  size 2/0, 75cm",12,12654.54175,15432.36799
GG016500,"Polyglactin 910 braided,  size 3/0, 75cm, ½ cir",12,16274.43377,19846.87045
GG016550,"Polyglactin 910 braided,  size 3/0, 75cm, ½ c_JJ",12,0,0
GG016555,"Polyglactin,910,5/0,Round Bodied,12",12,0,0
GG016800,"Polyglactin 910 braided, size (4/0) , 75cm",12,9799.52393,11950.63894
GG017100,Polyglactin 910 braided synthetic absorbable,12,4255.329,5189.42561
GG017200,"Vircry, Size USP 5/0, spatulated,6.5mm Single Arm",12,0,0
GG017300,"Vicryl ,Size USP 7/0, spatulated,6.5mm Single",12,0,0
GG017400,"Polyglactin 910 braided, size 3/0, 75cm",12,3827.0925,4667.18598
GG017700,"Polyglactin 910 Braided Size 3/0, 150cm",12,0,0
GG018000,"Polyglactin 910 Braided Size 0, 150cm, Ligatur",12,6292.125,7673.32317
GG018050,Braided synthetic sterile polyglactin 910 surgi,12,3545.53034,4323.81749
GG018300,"Polyglactin 910 Braided Size 2/0,150cm, Ligatur",12,6129.27,7474.71951
GG018600,"Polyglactin 910 Braided Size 1, 90cm, 1/2 CCC",12,15683.50027,19126.21984
GG018650,Polyglactin 1  (Vicryl) 1/2 circle round bodied,12,15500,18902.43902
GG018660,"Polyglactin,910,Braided Synth 1,1/2CCC,90cm,40mm",12,14505.03622,17689.06856
GG018900,"Polyglactin 910 Braided Size 2, 90cm, 1/2CCC",12,17633.93721,21504.80148
GG019200,Polyglactin 910 Braided Synthetic Surgical Sut,12,0,0
GG019500,Polyglactin 910 Braided Synthetic Surgical Sut,12,7121.385,8684.61585
GG019504,"Vicryl,6/0,Round Bodied,12",12,0,0
GG019800,"Polyglactin 910 Braided, Size6/0, 30cm",12,7606.39723,9276.09418
GG019900,"Polyglactin 910 Braided, Size 6/0, 30cm(3/8 c)-J&J",12,0,0
GG020100,Polyglactin 910 Braided Synthetic Surgical Sut,12,6411.02192,7818.31941
GG020400,"Polyglactin 910 Braided, Size 8/0, 30cm",12,34100.26475,41585.68872
GG020420,"Polyglactin 8/0, 1/2 Cycle on taper cut",12PCS,11434.5,13944.5122
GG020700,Polyglactin 910 Braided Synthetic Surgical Sutu,12,15224.89532,18566.94551
GG021000,"Polyglactin 910 Braid Sut, 2, 75cm,1/2CCC, 36-40mm",12,13301.72514,16221.61602
GG021300,"Polyglactin 910 Braided Size 2/0, 75cm",12,16452.96754,20064.59456
GG021600,Polyglactin 910 surgi suture 3/0,12,6500,7926.82927
GG021900,"Polyglactin 910 Braided Size 3/0, 75cm",12,12386.24497,15105.17679
GG022200,"Polyglactin 910 Braided Size 4/0, 75cm,1/2TP",12,13021.91289,15880.38157
GG022250,Polyglycolic Acid 2/0 Suture 24mm 3/8 CRC,12,0,0
GG022270,Polyglycolic Acid 4/0 Suture,12,0,0
GG022500,Polyglactin 910 Braided Synthetic Surgical Sut,12,13359.79558,16292.43363
GG022800,Polyglactin 910 Braided Synthetic Surgical Sut,12,6292.125,7673.32317
GG023100,"Polyglactin 910 Braided Size 6/0, 45cm, 3/8CCC",12,0,0
GG023400,"Polyglactin 910 Braided Size 6/0, 45cm, 3/8 Cir",12,13000,15853.65854
GG023500,"Polyglactin 910 suture, size 4/0, 1/2C, 20-26mm cu",12,0,0
GG023550,"Polyglactin 910 suture, size 5/0, 1/2C, 20-26mm cu",12,0,0
GG023600,"Polyglactin 910 suture, size 7/0, 1/2C, 36mm spatu",12,0,0
GG023650,"Polyglactin 910 suture, size 8/0, 3/8C, 36mm needl",12,0,0
GG023700,"Polyglactin 910 Braided Size 7/0, 30cm, 3/8Cir",12,13000,15853.65854
GG024000,"Polyglactin 910 Braided Size 8/0, 30cm, 3/8 Cir",12,13000,15853.65854
GG024300,Polyglactin 910 nthetic absorbable surgical sut,12,3405.15,4152.62195
GG024350,"Polyglactin 910 Braided,10/0, DA, 30cm long",12,62061.72223,75685.02711
GG024600,"Polypropylene monofilament Size 4/0, 90cm",12,0,0
GG024900,"Polypropylene monofilament Size 3/0, 90cm,",12,0,0
GG025200,"Polypropylene monofilament Size5/0, 75cm",12,0,0
GG025500,"Polypropylene monofilament suture sterile, 6/0",12,0,0
GG025800,"Shirodka/Macdonalds suture material/tape,12",12,0,0
GG025840,Silk non absorbable suture sterile 0  1/2 circle,12,0,0
GG025850,"Silk 1 rc needle ? C or 5/8, 30-35mm,7cm long,12",12,1280.6325,1561.74695
GG025851,Silk braided sterile non absorbable 0 round bod,12,0,0
GG026100,"Silk Braided Size 2, 100cm, 3/8 Circle CC",12,31910.28762,38914.9849
GG026150,Silk  suture sterile 2  1/2 circle Reverse Cutting,12,0,0
GG026400,"Silk Braided Size 2, 75cm, 1/2 Circle Taper Point",12,1036.085,1263.51829
GG026500,"silk suture, black braided, size 2/0, 1/2C, cuttin",12,0,0
GG026600,"silk suture, black braided, size 2/0, 1/2C, round",12,0,0
GG026700,"Silk Braided Size 3/0, 45cm, 1/2 CCC",12,32325,39420.73171
GG026800,"Silk Braided Size 3/0, 45cm, 1/2 Circle Conve-J&J",12,0,0
GG027000,"Silk Braided Size 4/0, 45cm, 1/2 Circle CC",12,86287.5,105228.6585
GG027050,"Silk Braided Size 4/0, 45cm, 3/8 CC Cutting 16mm",12,86287.5,105228.6585
GG027100,"Silk Braided Size 4/0, 45cm, 1/2 Circle CC(Johnson",12,0,0
GG027300,Skin stapler system disposable with skin staple,12,0,0
GG027501,"Silk Black Braided, Coated, size USP 4/0, 3/8 c_JJ",12,0,0
GG027550,"Silk Black Braided,Coated,4/0, 3/8, RC,19mm, 45cm",12,66310,80865.85366
GG027600,"Silk Braided Size 4/0, 45cm, 3/8 Circle Reverse",12,5392.35906,6576.04763
GG027650,"Silk,6/0,1/2,cycle reverse cutting,12mm,75cm,12",12,727.08,886.68293
GG027651,Silk 8/0 30cm On 6.5mm Spatula Curved 3/8Cir,12,0,0
GG027652,"Polyglactin 910, size 7/0, Spatulated, 6.5 mm",12,105000,128048.7805
GG027653,"Polyglactin 910,size 1, rb, taper point +,31mm",12,0,0
GG027654,"Polyglactin 910 size 0 ,rb,1/2 circle,40mm,75cm",12,25200,30731.70732
GG027655,"Polyamide Monofilament,CEC, 2-0, 40mm, CC",12,17800,21707.31707
GG027656,"Polyamide Monofilament, 2-0, 45mm, CC",12,17800,21707.31707
GG027657,"Polyamide Monofilament suture, F2425, 4-0",12,0,0
GG027658,"Polyamide Monofilament,size 0, 40mm, 1/2CCC",12,20800,25365.85366
GG027659,"Polydioxanone monofilament (PDS II) 2,MH1",12,0,0
GG027660,Polydioxanone monofilament (PDS II) 2-0,12,0,0
GG027670,"Polydioxanone monofilament (PDS II) 1,MH1",12,0,0
GG027680,"Polydioxanone monofilament (PDS II) 3-0,MH1",12,0,0
GG027690,"Polyamide Monofilament,F2428, 4-0, 40mm",12,0,0
GG027700,Polydioxanone monofilament (PDS II) size 1,36,111000,135365.8537
GG027800,"Polydioxanone monofilament (PDS II) 2,round",24PCS,88800,108292.6829
GG027900,Polydioxanone monofilament (PDS II) 2-0,36,0,0
GG028000,Polydioxanone monofilament (PDS II) 3-0,36,0,0
GG029000,"Silk 1, reverse cutting, 1/2circle, 30-35mm,7cm.",36,0,0
GG029100,"Silk 2, black braided, reverse cutting, 1/2circle",36,0,0
GG029200,"Polyamide Monofilament suture, 4-0, 1/2circle",36,58500,71341.46341
GG029300,"Polyamide Monofilament suture, 2/0, 1/2circle",36,0,0
GG029400,"Polyamide Monofilament, sterile sutur, size3/0",24PCS,0,0
GG029500,"Silk 2-0, reverse cutt, 1/2circle, 30-35mm,7cm",36PCS,52000,63414.63415
GG029600,"Monofilament P. 6 gauge 1, 100cm, 1/2 C,TP",12,0,0
GG029700,"Monofilament P. 6 gauge 10/0, 30cm, 3/8 C",12PCS,0,0
GG029800,"Monofilament P. 6 gauge 10/0, 30cm, 3/8 C",12PCS,0,0
GG029810,"Monofilament P. gauge 2/0, 100cm, 3/8C CVC",12PCS,0,0
GG029820,"Poliglecaprone 25 gauge 0, 70cm, 1/2 circle,TP",12PCS,0,0
GG029830,Polydioxanone monofilament (PDS II) gauge 0,12PCS,0,0
GG029840,"Polydioxanone monofilament (PDS II) gauge 2,90cmTP",12PCS,0,0
GG029850,Polydioxanone monofilament (PDS II) gauge,12PCS,0,0
GG029860,"Polydioxanone monofilament (PDS II) gauge 2/0,70cm",12PCS,0,0
GG029870,Polydioxanone monofilament (PDS II) gauge,12PCS,0,0
GG029880,"Polydioxanone monofilament (PDS II) gauge 3/0,70cm",12PCS,0,0
GG029980,Polydioxanone monofilament (PDS II) gauge,12PCS,0,0
GG029990,"Polydioxanone monofilament (PDS II) gauge 4/0,70cm",12PCS,0,0
GG029991,Polydioxanone monofilament (PDS II) gauge,12PCS,0,0
GG029992,"Polyglactin 910 gauge 2/0, 90cm,  ½ C, TP (RB)",12PCS,0,0
GG029993,"Polyglactin 910 gauge 1, 90cm, 1/2 circle TC",12PCS,0,0
GG029994,"Polyglactin 910gauge 2,90cm,1/2circle Tapercut",12PCS,0,0
GG029995,"Polyglactin 910 gauge 2/0, 90cm,1/2circle TP",12PCS,0,0
GG029996,"Polyglactin 910 gauge 4/0, 75cm, 1/2 C TP Plus",12PCS,0,0
GG029997,"Polyglactin 910 gauge 6/0, 45cm, 1/2C Spat",12PCS,0,0
GG029998,"Polyglactin 910,  gauge 0  , 90cm, 1/2 C, TP(RB)",12PCS,0,0
GG029999,"Polyglactin 910, gauge  7/0, 45cm (3/8 C)",12PCS,0,0
GG030000,"Polyglactin 910 gauge 2, 75cm, 1/2 c RB _J&J",12,0,0
GG030010,"Polyglactin 910 braided, 2 90cm, ½ circle CC, 40mm",12,0,0
GG031999,"Polyglactin 910, gauge  8/0, 30cm (3/8 C) Micro",12PCS,0,0
GG032999,Polypropylene monofilament gauge 3/0,12PCS,0,0
GG033999,"Polypropylene monofilament gauge 4/0, 90cm",12PCS,0,0
GG034999,"Polypropylene monofilament gauge 4/0,",12PCS,0,0
GG035999,"Polypropylene monofilament gauge 5/0, 90cm",12PCS,0,0
GG036999,Polypropylene Nonabsorbable Synthetic Mes,12PCS,0,0
GG037999,Polypropylene Nonabsorbable Synthetic Mesh,12PCS,0,0
GG038999,Polypropylene Nonabsorbable Synthetic Mesh,12PCS,0,0
GG054100,"Monofilament Polyamide 6 Size 1, 100cm, 1/2 C-JJ",12,0,0
GG05901,Polyglactin 910 Braided Synthetic Surgical Suture,12,0,0
GG061200,"Vicryl 3/0  on 35mm cutting needle, 75cm",12,0,0
GG089000,"polypropylene suture, size 4/0, 1/2C,24mm needle,",12,0,0
GG089100,"polypropylene suture, size 5/0, 1/2C, 11mm needle,",12,0,0
GG089200,"polypropylene suture, size 6/0, 3/8C,11mm needle,",12,0,0
HH000100,Automatic pneumatic tournique-Zimmer,EACH,0,0
HH000101,"Bags Emesis, Disposable",EACH,0,0
HH000102,"Catheter, Foley's, Retention, 30cc ,12FG",EACH,0,0
HH000103,Chemo ports,EACH,0,0
HH000104,"Delivery drape, calibrated,2000ml pouch capacity",100PCK,0,0
HH000105,"Guedel, Airway, (Oral Pharyngeal), Size 5, 60mm lo",EACH,0,0
HH000200,Basic spine set,EACH,0,0
HH000201,CT scan 100/200ml syringes kit disposable,EACH,0,0
HH000202,"Gadopentetate Dimeglumine (Gadolinium), 10ml",EACH,0,0
HH000203,,,0,0
HH000204,Standard enteral giving set ( AMIKA),EACH,0,0
HH000220,30 Degrees Rigid Neuroendoscopes,EACH,0,0
HH000230,3M 10Ban/ 50 Ban,EACH,0,0
HH000240,3Mm Suction Drains,EACH,0,0
HH000250,40 Litre Autoclave Machine,EACH,0,0
HH000260,Acrylic For Cranioplaty,EACH,0,0
HH000270,Alm Operating Light Autoclavable Handles,EACH,0,0
HH000280,Angle Poise Lamp Mobile,EACH,20000,24390.2439
HH000290,"Autoclave Machine, 60L, holizontal",EACH,23782000,29002439.02
HH000300,Adenoidectomy set,SET,0,0
HH000310,N95 Face Mask with Aluminium nose clip,100,0,0
HH000320,Artery Forceps Straight,EACH,0,0
HH000330,Autoclave Suction Tubings,EACH,0,0
HH000340,Autoclave Table Top,EACH,0,0
HH000600,Airway disposable (Portex) size 0,EACH,0,0
HH000900,Airway disposable (Portex) size 00,EACH,0,0
HH001100,"ConvaTec Sur-Fit Natura,10"", 2 piece,ostomy pouch",EACH,9750,11890.2439
HH001200,Airway disposable (Portex) size 000,EACH,0,0
HH001300,"Foot Left,size 22, Olive",EACH,44253.249,53967.37683
HH001400,"Foot Left, size 23,Olive",EACH,44253.24933,53967.37723
HH001450,"Foot Left, size 24Terra or olive colour",EACH,0,0
HH001500,"Airway disposable (Portex),size 1,Each",EACH,0,0
HH001600,"Foot Left, size 28, Olive",EACH,44253.25,53967.37805
HH001700,"Foot Right, size 22, Olive",EACH,33590.4255,40963.93354
HH001800,"Airway disposable,PVC/Silicon,size 0,Each",EACH,0,0
HH001900,"Foot Right,Size23,Olive",EACH,44253.24933,53967.37723
HH002000,"Foot Right,Size 28, Olive",EACH,44253.249,53967.37683
HH002100,Airway disposable PVC/Silicon size 00,EACH,0,0
HH002200,"Foot long stump, terra color,17cm,Left",EACH,57214.75,69774.08537
HH002300,"Foot long stump, terra Color,19cm, left",EACH,45839.221,55901.48902
HH002400,Airway disposable PVC/Silicon size 1,EACH,0,0
HH002500,"Foot long stump,Terra Color, 21cm, Left",EACH,45839.221,55901.48902
HH002600,"Foot long stump, Terra Color, 17cm,right",EACH,57214.76,69774.09756
HH002700,"Airway disposable,PVC/Silicon,size 2,Each",EACH,0,0
HH002800,"Foot long stump,Terror Color,19cm,Right",EACH,57214.75,69774.08537
HH002900,"Foot long stump, Terra Color,21cm,Right",EACH,57214.75,69774.08537
HH003000,"Airway disposable,PVC/Silicon,size 3,Each",EACH,306,373.17073
HH003100,"Foot long stump,Terra Color,23cm,left",EACH,57214.75,69774.08537
HH003200,"Foot long stump, Terra Color, 25cm,left",EACH,57214.76,69774.09756
HH003300,Airway disposable PVC/Silicon size 4,EACH,0,0
HH003350,Anaesthesia Machine WATO-65,EACH,68000000,82926829.27
HH003400,"Foot long stump, Terra Color, 27cm, Left",EACH,57214.75,69774.08537
HH003600,AO External Fixator,SET,0,0
HH003700,"Foot long stump, Terra Color, 23cm, right",EACH,50137.08,61142.78049
HH003800,"Foot long stump, Terra Color,25cm, Right",EACH,57214.75,69774.08537
HH003900,AO K wire fixation set,SET,0,0
HH004000,"Foot long stump, Terra Color, 27cm, Right",EACH,45839.221,55901.48902
HH004010,Foot. Adult. Right Size 28. Terra brown,EACH,44253.25,53967.37805
HH004050,Heavy duty nut for long stump FOR ADULT M8,EACH,134027.2,163447.8049
HH004051,Heavy duty nut for long stump FOR M10 ADULT,EACH,134027.2,163447.8049
HH004100,Wrist Unit Adult with T-Nut Terra,EACH,4649.285,5669.85976
HH004200,Arterial blood gas anaylizer (ABG) portable,EACH,0,0
HH004300,Ear Protector,EACH,19359.063,23608.61341
HH004400,"Sanding belt, 1750mm x 150mm,CRIT 24SG for 85",EACH,22223.645,27102.0061
HH004500,Aschs forceps,EACH,0,0
HH004501,Cautery forceps for macroscopic surgery (Straight,EACH,0,0
HH004502,Electric cautery machine (20watts Bipolar coagulat,EACH,9925939.8,12104804.63
HH004510,Cautery forceps (Bipolar coagulation forceps-McPhe,EACH,0,0
HH004600,"file with handle,stanley surgeform,std flat blade",EACH,24559.9,29951.09756
HH004700,"File with handle, stanley surgeform, rnd flat blad",EACH,16836.065,20531.78659
HH004800,Audiometer AD 25,EACH,0,0
HH004900,"Spare blade,stanley surfom II,flat file 250mm",EACH,8338.46067,10168.85448
HH005000,"Spare half blade,Stanley surform II, 250mm",EACH,9775.674,11921.55366
HH005100,"Autoclave tape,1cm wide,12m long,Roll",ROLL,203.07324,247.65029
HH005200,"Fine spare blade, stanley surform II, 250mm",EACH,8978.31533,10949.16504
HH005400,"Autoclave tape,1.5cm wide,12m long,Roll",ROLL,630,768.29268
HH005700,"Autoclave tape,2cm wide,12m long Roll",ROLL,0,0
HH005750,"Tape, chemical resistant",EACH,0,0
HH006000,"AV fistulae needles,(15G16G),Each",EACH,0,0
HH006010,AV fistulae needles (15G),EACH,51803.375,63174.84756
HH006020,"AV fistulae needles, 16G",EACH,51803.375,63174.84756
HH006300,"Bag (ambu) self inflating, connecting tube",EACH,0,0
HH006320,Bandage Scissors,EACH,0,0
HH006330,Batteries For Opthalmoscopes,EACH,0,0
HH006335,Batteries AA Pack of 4,4,0,0
HH006340,Bear Hugger Warming Blankets,EACH,0,0
HH006350,Bed Side Locker,EACH,0,0
HH006360,Biopsy Bowl,EACH,0,0
HH006370,Biopsy Forceps Angled,EACH,0,0
HH006380,Biopsy Forceps For Rigid Neuroendoscopes,EACH,0,0
HH006381,Neuroendoscopic Biopsy Forceps KarlAngled,EACH,0,0
HH006382,Neuroendoscopic Biopsy Forceps Karl Angled,EACH,0,0
HH006383,Neuroendoscopic Biopsy Forceps KarlAngled,EACH,0,0
HH006384,Neuroendoscopic Biopsy Forceps Karl Angled,EACH,0,0
HH006385,Neuroendoscopic Scissors Karl For flexible,EACH,0,0
HH006390,Biopsy Forceps Forflexible Neuroendoscope,EACH,0,0
HH006600,"Bag (ambu) self inflating, paed 15mm ISO",EACH,12922.15,15758.71951
HH006900,Bag ambu resucsitation disposable adult,EACH,0,0
HH007200,Bag ambu resucsitation disposable infant,EACH,4910.28,5988.14634
